taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2540341113	Bacteria	Finished	Tepidanaerobacter acetatoxydans Re1	Tepidanaerobacter acetatoxydans Re1	Swedish University of Agricultural Sciences	2540341113	2761826	3106
649989977	Bacteria	Permanent Draft	Oscillochloris trichoides DG6	Oscillochloris trichoides DG6	"Russian Academy of Science, Centre Bioengineering"	649989977	4313760	3280
2675903523	Bacteria	Finished	Geminocystis sp. NIES 3708	Geminocystis sp. NIES-3708	Toyohashi University of Technology	2675903523	4042078	3666
2757320732	Bacteria	Finished	Genome sequencing of Halomicronema hongdechloris C2206	Halomicronema hongdechloris C2206	Macquarie University	2757320732	5574084	5342
2751186035	Bacteria	Permanent Draft	FAP bacteria	Candidatus Chloroploca asiatica B7-9	"Institute of Bioengineering, Research Center of Biotechnology of RAS"	2751186035	5817919	4878
2516493028	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Allobaculum stercoricanis DSM 13633	DOE Joint Genome Institute (JGI)	2516493028	2052877	1853
2582580727	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Anaerocolumna xylanovorans DSM 12503	DOE Joint Genome Institute (JGI)	2582580727	5420325	4735
641228474	Bacteria	Finished	Acaryochloris marina MBIC11017	Acaryochloris marina MBIC11017	Washington University in St. Louis	641228474	8361599	8488
2623620615	Bacteria	Permanent Draft	The Agave Microbiome: Exploring the role of microbial communities in plant adaptations to desert environments	Paenisporosarcina quisquiliarum SK 55	DOE Joint Genome Institute (JGI)	2623620615	4033490	4095
2517093043	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Succinispira mobilis DSM 6222	DOE Joint Genome Institute (JGI)	2517093043	2085243	2002
2751185569	Bacteria	Finished	"Anaerobic digester sludge microbial communities from Brisbane, Australia"	Caldilineales bacterium Chloro_01	The University of Queensland	2751185569	2605966	2408
2511231116	Bacteria	Finished	Tetragenococcus halophilus NBRC 12172	Tetragenococcus halophilus NBRC 12172	National Institute of Technology and Evaluation	2511231116	2562720	2633
2636416020	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Sinobaca qinghaiensis DSM 17008	DOE Joint Genome Institute (JGI)	2636416020	3403958	3488
2675903648	Bacteria	Permanent Draft	Genome sequencing of two strains of Jeotgalibaca dankookensis	Jeotgalibaca dankookensis CL-AS1	Korea Polar Research Institute (KOPRI)	2675903648	2034570	2096
2519899640	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Salinicoccus albus DSM 19776	DOE Joint Genome Institute (JGI)	2519899640	2644465	2773
2556921093	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Clostridiisalibacter paucivorans DSM 22131	DOE Joint Genome Institute (JGI)	2556921093	3252497	3232
2501915963	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Desulfonispora thiosulfatigenes GKNTAUT , DSM 11270"	DOE Joint Genome Institute (JGI)	2501915963	2412168	2489
2617270782	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Planomicrobium glaciei CGMCC 1.6846	DOE Joint Genome Institute (JGI)	2617270782	3917616	3924
2561511183	Bacteria	Finished	Synechocystis sp. PCC 6803	Synechocystis sp. PCC 6803	Albert-Ludwigs-University Freiburg	2561511183	3949306	3610
2751185701	Bacteria	Permanent Draft	Fusibacter sp. 3D3	Fusibacter sp. 3D3	Molecular Research LP (MR DNA)	2751185701	5105448	4706
2265129007	Bacteria	Permanent Draft	Poribacteria Single Cells	Candidatus Poribacteria sp. WGA-4C (contamination screened) (final_clean_version)	LGC Genomics	2265129007	1629923	1603
2547132073	Bacteria	Finished	Clostridium botulinum V891	Clostridium botulinum V891	"National Veterinary Institute (SVA), Sweden"	2547132073	3138947	3719
2751185690	Bacteria	Permanent Draft	Genome sequencing of Clinical strains of Eisenbergiella tayi - Public Health Agency of Canada	Eisenbergiella tayi NML 110608	Public Health Agency of Canada	2751185690	7148401	6146
2667527554	Bacteria	Finished	Lentibacillus amyloliquefaciens LAM0015	Lentibacillus amyloliquefaciens LAM0015	Biogas Institute of Ministry of Agriculture	2667527554	3858284	3996
649633058	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Isosphaera pallida IS1B, ATCC 43644"	DOE Joint Genome Institute (JGI)	649633058	5529304	3823
2524614856	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Tuberibacillus calidus DSM 17572	DOE Joint Genome Institute (JGI)	2524614856	3244367	3306
642979369	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Tyzzerella nexilis DSM 1787	Washington University in St. Louis	642979369	3861016	4297
2522572066	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	"Eggerthia catenaformis OT 569, DSM 20559"	DOE Joint Genome Institute (JGI)	2522572066	1922941	1961
643348530	Bacteria	Finished	Coprothermobacter proteolyticus DSM 5265	Coprothermobacter proteolyticus DSM 5265	J. Craig Venter Institute (JCVI)	643348530	1424912	1535
2518645534	Bacteria	Finished	Staphylococcus aureus 08BA02176	Staphylococcus aureus 08BA02176	University of Melbourne	2518645534	2782313	2777
2687453613	Bacteria	Finished	Complete genome sequence of Paenibacillus riograndensis SBR5	Paenibacillus riograndensis SBR5	"Center for Biotechnology (CeBiTec), Bielefeld Univeristy"	2687453613	7919576	6865
2751185732	Bacteria	Finished	Bacillus muralis G25-68 genome sequencing	Fictibacillus arsenicus G25-54	Zhanjiang Normal University	2751185732	4055461	4183
2667527384	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Hydrogenoanaerobacterium saccharovorans CGMCC 1.5070	DOE Joint Genome Institute (JGI)	2667527384	3178920	3039
2509601017	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Halobacteroides halobius DSM 5150	DOE Joint Genome Institute (JGI)	2509601017	2649255	2633
2639762957	Bacteria	Finished	Megasphaera elsdenii 14-14	Megasphaera elsdenii 14-14	"U.S. Department of Agriculture, Agricultural Research Service, National Animal Disease Center"	2639762957	2504349	2369
648028001	Bacteria	Finished	DOEM_782002	Nostoc azollae 0708	DOE Joint Genome Institute (JGI)	648028001	5486145	5379
2690315902	Bacteria	Permanent Draft	Gracilibacillus massiliensis Awa-1 genome	Clostridiaceae bacterium GM1	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2690315902	2850586	2826
2563367155	Bacteria	Permanent Draft	Viridibacillus arenosi FSL R5-213	Viridibacillus arenosi FSL R5-213	Beijing Genomics Institute (BGI)	2563367155	4445024	4360
2724679802	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Melghirimyces algeriensis DSM 45474	DOE Joint Genome Institute (JGI)	2724679802	3425405	3376
638341020	Bacteria	Permanent Draft	"Blastopirellula marina SH 106T, DSM 3645"	"Blastopirellula marina SH 106T, DSM 3645"	"Max Planck Institute, J. Craig Venter Institute (JCVI)"	638341020	6653746	6090
2515154144	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Shimazuella kribbensis DSM 45090	DOE Joint Genome Institute (JGI)	2515154144	4187023	4333
2513237341	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Dolosigranulum pigrum ATCC 51524	Broad Institute	2513237341	1846028	1723
2757321005	Bacteria	Finished	Genome sequencing of Salinicoccus sp. BAB3246	Salinicoccus sp. BAB3246	Hem. North Gujarat Unviersity	2757321005	713204	1605
2654587895	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Alteribacillus bidgolensis IBRC-M10614	DOE Joint Genome Institute (JGI)	2654587895	4643995	4708
2558860169	Bacteria	Permanent Draft	Pasteuria nishizawae North American	Pasteuria nishizawae North American	"University of Illinois, Urbana-Champaign"	2558860169	20360	60
2639763091	Bacteria	Finished	Complete genome sequence of Endomicrobium proavitum Rsa215	Endomicrobium proavitum Rsa215	Max Planck Institute for Terrestrial Microbiology	2639763091	1588979	1398
2508501034	Bacteria	Permanent Draft	GEBA-PCC	Xenococcus sp. PCC 7305	DOE Joint Genome Institute (JGI)	2508501034	5929641	5420
2675903160	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Lihuaxuella thermophila DSM 46701	DOE Joint Genome Institute (JGI)	2675903160	3808945	3840
2718217754	Bacteria	Finished	Human oral bacterial isolates genome sequencing	Dialister pneumosintes F0677	The Forsyth Institute	2718217754	1274073	1272
2684622530	Bacteria	Finished	"Commensal E. faecium isolate from non-hospitalised person, isolated from faeces in 1998"	Enterococcus faecium EFE10021	"Institute of Biotechnology, Univerity of Helsinki"	2684622530	2614649	2524
2513237213	Bacteria	Finished	Selenomonas ruminantium lactilytica TAM6421	Selenomonas ruminantium lactilytica TAM6421	National Institute of Technology and Evaluation	2513237213	3631933	3608
646564586	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Truepera radiovictrix RQ-24, DSM 17093"	DOE Joint Genome Institute (JGI)	646564586	3260398	3046
2751185717	Bacteria	Finished	Lysinibacillus saudimassiliensis genome	Jeotgalicoccus saudimassiliensis 13MG44_air	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2751185717	2191063	2249
2585428077	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Caloranaerobacter azorensis DSM 13643	DOE Joint Genome Institute (JGI)	2585428077	2461935	2617
2718218049	Bacteria	Finished	Listeria monocytogenes genome for validating bioinformatic pipelines	Listeria monocytogenes HPB913	U.S. Food and Drug Administration	2718218049	3005352	3102
2561511211	Bacteria	Finished	Geobacillus sp. JF8 Genome sequencing	Geobacillus sp. JF8	Shizuoka University	2561511211	3485960	3640
2627854003	Bacteria	Permanent Draft	Pontibacillus chungwhensis BH030062 Genome sequencing	Pontibacillus chungwhensis BH030062		2627854003	3872934	3939
643692002	Bacteria	Finished	Anaerocellum thermophilum	"Caldicellulosiruptor bescii Z-1320, DSM 6725"	DOE Joint Genome Institute (JGI)	643692002	2931662	2832
2622736413	Bacteria	Permanent Draft	Syntrophaceticus schinkii Sp3	Syntrophaceticus schinkii Sp3	SciLifeLab	2622736413	3166921	3563
2585428176	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Paramaledivibacter caminithermalis DSM 15212	DOE Joint Genome Institute (JGI)	2585428176	4060624	3864
2561511231	Bacteria	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Mitsuokella jalaludinii DSM 13811	DOE Joint Genome Institute (JGI)	2561511231	2412558	2261
2585428085	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Sporobacter termitidis DSM 10068	DOE Joint Genome Institute (JGI)	2585428085	4198214	3867
2526164522	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Terrisporobacter glycolicus DSM 1288	DOE Joint Genome Institute (JGI)	2526164522	4022414	3969
2622736585	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Dolosicoccus paucivorans DSM 15742	DOE Joint Genome Institute (JGI)	2622736585	1759599	1800
2588253751	Bacteria	Finished	Terribacillus aidingensis strain:MP602 Genome sequencing	Terribacillus aidingensis MP602	Zhejiang Agriculture and Forestry University	2588253751	3577082	3311
2561511092	Bacteria	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Kandleria vitulina DSM 20405	DOE Joint Genome Institute (JGI)	2561511092	2126709	2201
641522622	Bacteria	Finished	"Cyanothece sp. BH68, ATCC 51142"	"Cyanothece sp. BH68, ATCC 51142"	Washington University in St. Louis	641522622	5460377	5354
649633052	Bacteria	Finished	Halanaerobium sp. SL-HP Sequencing	Halanaerobium hydrogenoformans	DOE Joint Genome Institute (JGI)	649633052	2613117	2463
2634166325	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Natribacillus halophilus DSM 21771	DOE Joint Genome Institute (JGI)	2634166325	3302411	3522
649633043	Bacteria	Finished	DOEM_782007	"Ethanoligenens harbinense YUAN-3T, DSM 18485"	DOE Joint Genome Institute (JGI)	649633043	3008576	2874
2660238162	Bacteria	Finished	Clostridium thermocellum AD2	Ruminiclostridium thermocellum AD2	Oak Ridge National Laboratory	2660238162	3554854	3135
642555134	Bacteria	Finished	Lactobacillus casei casei BL23	Lactobacillus casei casei BL23	Centre National de la Recherche Scientifique (CNRS)	642555134	3079196	3105
2508501108	Bacteria	Finished	"Sequencing Genomes of Environmentally Important Thermophiles in Great Basin hot springs: Thermocrinis ruber, three members of the genus Thermus, and a novel Chloroflexi"	Thermus thermophilus JL-18	DOE Joint Genome Institute (JGI)	2508501108	2311212	2508
640963040	Bacteria	Permanent Draft	Lentisphaera araneosa HTCC2155	Lentisphaera araneosa HTCC2155	J. Craig Venter Institute (JCVI)	640963040	6023180	5173
2527291518	Bacteria	Permanent Draft	GEBA-MDM	Hydrogenedentes bacterium JGI 0000039-J10 (contamination screened) (Combined_Assembly_NKB19_1__NKB19)	DOE Joint Genome Institute (JGI)	2527291518	2874403	2439
2558860969	Bacteria	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Lachnobacterium bovis AE2004	DOE Joint Genome Institute (JGI)	2558860969	2844447	2688
2675903025	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Salisediminibacterium haloalkalitolerans 10nlg	DOE Joint Genome Institute (JGI)	2675903025	2937914	2860
2554235408	Bacteria	Finished	Meiothermus ruber DSM 1279 Genome sequencing	Meiothermus ruber DSM 1279	Pacific Biosciences	2554235408	3098881	3109
2522572068	Bacteria	Draft	Melainabacteria	Gastranaerophilaceae MH_37 (assembly from clc and groopm)	U.S. Department of Energy (DOE)	2522572068	2197281	2402
2770939556	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification"	Hungatella effluvii DSM 24995	DOE Joint Genome Institute (JGI)	2770939556	6863335	6003
2654587883	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Piscibacillus halophilus DSM 21633	DOE Joint Genome Institute (JGI)	2654587883	2992995	3258
2506520014	Bacteria	Finished	GEBA-PCC	Spirulina major PCC 6313	DOE Joint Genome Institute (JGI)	2506520014	5050153	4460
2634166332	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Propionispora vibrioides DSM 13305	DOE Joint Genome Institute (JGI)	2634166332	4433598	4262
2509276061	Bacteria	Finished	GEBA-PCC	Pleurocapsa sp. PCC 7327	DOE Joint Genome Institute (JGI)	2509276061	4986817	4667
2585427640	Bacteria	Finished	"Fish pathogen genome projects - Aquacen, Brazil"	Weissella ceti WS08	Federal University of Minas Gerais	2585427640	1355853	1363
2519103100	Bacteria	Finished	Exiguobacterium antarcticum B7	Exiguobacterium antarcticum B7	Rede Paraense de Genomica e Proteomica	2519103100	2815863	2865
2675903018	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Salipaludibacillus auranticus S9	DOE Joint Genome Institute (JGI)	2675903018	4435185	4355
2558860255	Bacteria	Finished	Bacillus subtilis BEST7003	Bacillus subtilis BEST7003	Tokyo University of Agriculture	2558860255	4043042	4133
2509601025	Bacteria	Finished	GEBA-PCC	Cylindrospermum stagnale PCC 7417	DOE Joint Genome Institute (JGI)	2509601025	7610589	6739
2660238554	Bacteria	Permanent Draft	Genome sequencing of the human gut microbiota	Peptoniphilaceae bacterium SIT14	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2660238554	1831366	1779
2751185761	Bacteria	Finished	Anaerococcus mediterraneensis Marseille-P2765 genome sequencing	Anaerococcus mediterraneensis Marseille-P2765	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2751185761	2080215	2053
2265129012	Bacteria	Permanent Draft	GEBA-MDM	Gracilibacteria bacterium JGI 0000069-K10 (contamination screened) (CrabSpa_001_277)	DOE Joint Genome Institute (JGI)	2265129012	759477	768
649633026	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Calditerrivibrio nitroreducens Yu37-1, DSM 19672"	DOE Joint Genome Institute (JGI)	649633026	2216552	2177
2517093030	Bacteria	Finished	Melioribacter roseus P3M	Melioribacter roseus P3M	"Russian Academy of Science, Centre Bioengineering"	2517093030	3300414	2888
2740892510	Bacteria	Permanent Draft	Levilinea saccharolytica KIBI-1 genome sequencing	Levilinea saccharolytica DSM 16555	California Institute of Technology	2740892510	4230078	3731
2503538020	Bacteria	Finished	GEBA-PCC	Geitlerinema sp. PCC 7407	DOE Joint Genome Institute (JGI)	2503538020	4681111	3913
646311901	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Acidaminococcus fermentans VR4, DSM 20731"	DOE Joint Genome Institute (JGI)	646311901	2329769	2174
2757320777	Bacteria	Finished	Genome sequencing of Thermogutta terrifontis R1	Thermogutta terrifontis R1	"Hotzyme, University of Copenhagen"	2757320777	4810751	3655
2513237343	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Dorea formicigenerans 4_6_53AFAA	Broad Institute	2513237343	3825700	3902
2734481901	Bacteria	Permanent Draft	Coprobacillus cateniformis JCM 10604	Coprobacillus cateniformis JCM 10604	University of Tokyo	2734481901	3570402	4637
2651869763	Bacteria	Finished	Clostridium sordellii JGS6364	Paeniclostridium sordellii ATCC 9714	Wellcome Trust Sanger Institute	2651869763	3394044	3432
2510461037	Bacteria	Permanent Draft	Prochloron didemni	Prochloron didemni P1-Palau	J. Craig Venter Institute (JCVI)	2510461037	6197726	5856
2585428191	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Anaerobranca californiensis DSM 14826	DOE Joint Genome Institute (JGI)	2585428191	2034462	2155
640427128	Bacteria	Finished	Pelotomaculum thermopropionicum SI	Pelotomaculum thermopropionicum SI	ANRT	640427128	3025375	3018
2675902963	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Sediminibacillus albus CGMCC 1.6502	DOE Joint Genome Institute (JGI)	2675902963	3565081	3653
2687453106	Bacteria	Finished	Genome sequence of Fischerella sp. NIES-3754	Fischerella sp. NIES-3754	Toyohashi University of Technology	2687453106	5826863	5017
2503754019	Bacteria	Finished	GEBA-PCC	Stanieria cyanosphaera PCC 7437	DOE Joint Genome Institute (JGI)	2503754019	5544990	5041
646311970	Bacteria	Finished	Cyanobacterium sp. UCYN-A	Candidatus Atelocyanobacterium thalassa ALOHA	"University of California, Santa Cruz"	646311970	1443806	1241
2516493023	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Orenia marismortui DSM 5156	DOE Joint Genome Institute (JGI)	2516493023	3459766	3326
2585428170	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Geosporobacter subterraneus DSM 17957	DOE Joint Genome Institute (JGI)	2585428170	3858006	3864
2590828806	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Gemmiger formicilis ATCC 27749	DOE Joint Genome Institute (JGI)	2590828806	3241569	2928
2510065008	Bacteria	Finished	GEBA-PCC	Rivularia sp. PCC 7116	DOE Joint Genome Institute (JGI)	2510065008	8728773	6946
2645727612	Bacteria	Permanent Draft	Thermanaerothrix daxensis strain:GNS-1 Genome sequencing	Thermanaerothrix daxensis GNS-1	California Institute of Technology	2645727612	3012066	2832
2599185225	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Natronincola ferrireducens DSM 18346	DOE Joint Genome Institute (JGI)	2599185225	3107081	3002
2510461053	Bacteria	Permanent Draft	DOEM_782007	"Acetivibrio cellulolyticus CD2, DSM 1870 (ORNL annotation)"	DOE Joint Genome Institute (JGI)	2510461053	6156735	5163
2619618830	Bacteria	Finished	Dehalogenimonas alkenigignens IP3-3	Dehalogenimonas alkenigignens IP3-3	"Chunlab, Inc"	2619618830	1849792	1984
648028002	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Acetohalobium arabaticum Z-7288, DSM 5501"	DOE Joint Genome Institute (JGI)	648028002	2469596	2438
2634166308	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Ignavigranum ruoffiae DSM 15695	DOE Joint Genome Institute (JGI)	2634166308	1958489	1941
2737471639	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Agitococcus lubricus DSM 5822	DOE Joint Genome Institute (JGI)	2737471639	3740816	3373
643348557	Bacteria	Finished	Halothermothrix orenii DSM 9562	Halothermothrix orenii H 168	DOE Joint Genome Institute (JGI)	643348557	2578146	2432
2609459992	Bacteria	Permanent Draft	Gracilibacillus boraciitolerans JCM 21714	Gracilibacillus boraciitolerans JCM 21714	University of Tokyo	2609459992	3651580	4620
2562617038	Bacteria	Finished	Eac	Peptoclostridium acidaminophilum al-2 (EAL2)	Goettingen Genomics Laboratory	2562617038	3055036	2999
2608642105	Bacteria	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Sarcina sp. DSM 11001	DOE Joint Genome Institute (JGI)	2608642105	4151587	3327
2558309063	Bacteria	Finished	Gloeobacter kilaueensis JS1	Gloeobacter kilaueensis JS1	University of Hawaii	2558309063	4724791	4562
648028061	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Thermosediminibacter oceani JW/IW-1228P, DSM 16646"	DOE Joint Genome Institute (JGI)	648028061	2280035	2348
2504643013	Bacteria	Finished	GEBA-PCC	Crinalium epipsammum PCC 9333	DOE Joint Genome Institute (JGI)	2504643013	5620407	5059
2695420940	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Seinonella peptonophila DSM 44666	DOE Joint Genome Institute (JGI)	2695420940	3844441	3782
643348543	Bacteria	Finished	Obsidian Hot Spring Microbial Community Genomics	Dictyoglomus turgidum DSM 6724	DOE Joint Genome Institute (JGI)	643348543	1855560	1865
2654588195	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Aliicoccus persicus IBRC-M10081	DOE Joint Genome Institute (JGI)	2654588195	2061411	2106
2728369512	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Planifilum fimeticola DSM 44946	DOE Joint Genome Institute (JGI)	2728369512	3587211	3552
2671180540	Bacteria	Permanent Draft	Culturomics study of the human gut microbiota	Ruminococcaceae bacterium GD1	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2671180540	3056373	2939
2537561888	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Peptostreptococcaceae bacterium AS15	J. Craig Venter Institute (JCVI)	2537561888	2654638	2336
2509887032	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	"Halonatronum saccharophilum Z-7986, DSM 13868"	DOE Joint Genome Institute (JGI)	2509887032	2884521	2838
2634166323	Bacteria	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Isobaculum melis DSM 13760	DOE Joint Genome Institute (JGI)	2634166323	2821134	2792
2687453481	Bacteria	Finished	Six Aerococcus type strain genome sequencing and assembly	Aerococcus sanguinicola CCUG43001	"Department of Clinical Microbiology, Slagelse Hospital, Denmark"	2687453481	2033849	1862
649633038	Bacteria	Finished	"CSP_787571, Selenate-reducing bacterium"	"Desulfurispirillum indicum S5, DSM 22839"	DOE Joint Genome Institute (JGI)	649633038	2928377	2668
2513237000	Bacteria	Permanent Draft	Dolichospermum circinale ACBU02	Dolichospermum circinale ACBU02	ANRT	2513237000	4734170	5208
2599185234	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Acidaminobacter hydrogenoformans DSM 2784	DOE Joint Genome Institute (JGI)	2599185234	3615609	3376
2585428044	Bacteria	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	Lactonifactor longoviformis DSM 17459	DOE Joint Genome Institute (JGI)	2585428044	4839287	4487
2651869741	Bacteria	Finished	Genome sequencing of Fusobacterium nucleatum subsp. hwasookii KCOM 1256	Fusobacterium hwasookii ChDC F174	Chosun University	2651869741	2463707	2326
2524614676	Bacteria	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	"Geovibrio sp. L21-Ace-BES, DSM 26904"	DOE Joint Genome Institute (JGI)	2524614676	2971658	2769
2551306147	Bacteria	Permanent Draft	Alkalibacillus haloalkaliphilus C5	Alkalibacillus haloalkaliphilus C5	Anand Agricultural University	2551306147	2908057	3457
2639762507	Bacteria	Permanent Draft	"Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA"	Halarsenatibacter silvermanii SLAS-1	DOE Joint Genome Institute (JGI)	2639762507	2718640	2648
2503508009	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Mahella australiensis 50-1 BON, DSM 15567"	DOE Joint Genome Institute (JGI)	2503508009	3135972	3033
2585427718	Bacteria	Permanent Draft	Kurthia huakuii LAM0618	Kurthia huakuii LAM0618	Chinese Academy of Agricultural Sciences	2585427718	3548922	3656
2609459698	Bacteria	Finished	"Clostridium aceticum, DSM 1496"	"Clostridium aceticum, DSM 1496 (CACET)"	Goettingen Genomics Laboratory	2609459698	4207037	3945
2509887024	Bacteria	Permanent Draft	GEBA-PCC	Calothrix desertica PCC 7102	DOE Joint Genome Institute (JGI)	2509887024	11416284	10426
2600255144	Bacteria	Permanent Draft	Genome sequence of Clostridiales bacterium 9403326	Clostridiales bacterium 9403326	European Bioinformatics Institute	2600255144	1710632	1540
